,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290.68,1012.2,863.77,501.4,197.55,26.634,115.75,20.086,19.597,12.677,751.21,0.70286,125,0.38286,60.46,149.89,164.26,709.6,239.65,263.06,1789.1,3481.7,1332.3,2095.4,1219.4,189.43,891.43,121.71,147.71,326.57,4170.3,3.7143,957.43,2,577.71,1328.3,725.43,769.43,291.14,875.71,581.14,212.85,4.2857,619.14,408.29,62.286,253.43,32.286,48,53.143,966.29,0.85714,324.57,0.85714,166,422.86,215.14,2.2857,2.2857,33.143
186.52,1231.3,1516.4,397.02,299.71,29.737,93.071,24.514,25.431,12.251,513.27,0.5,81.809,0.26571,73.96,182.49,86.731,722.1,271.23,256.78,1300.9,3552,1773.7,1796.9,1846.3,212.86,742,156.29,189.43,320.57,3610.6,2.8571,654.57,1.7143,717.43,1636.9,488.57,728.86,308.86,864.86,400.29,238.3,5.1429,548.29,731.14,71.714,216.57,43.143,52.286,47.143,881.43,0.85714,243.71,0.28571,212.29,494.57,140.57,6.5714,0.28571,25.143
146.73,1256.3,1882.6,336.35,148.32,19.2,74.1,7.3086,19.286,11.02,243.56,0.37143,36.283,0.24,34.62,104.49,41.691,785.74,263.31,247.17,1039.4,3910.3,2599.7,1610.9,1059.7,144,594.86,55.429,167.14,290.57,2247.4,2.2857,358.86,1.1429,400.29,1158.9,293.43,810.29,326.57,875.14,367.43,236,5.1429,538.86,403.71,54.857,213.71,13.143,58.286,44.286,583.14,0.57143,127.71,0,97.429,406.86,84.857,4.8571,2.2857,16.857
101.76,1196.4,2065.6,311.19,147.97,13.931,83.863,5.6771,13.977,12.2,176.29,0.48,39.086,0.071429,28.529,99.531,30.791,761.95,225.27,200.12,727.43,3811.4,2439.4,1423.1,1057.4,110.57,659.14,45.143,128,327.71,1607.7,3.4286,369.14,0.28571,343.43,1117.1,216,816.86,306.29,738.86,272,230.57,4.2857,532,408.86,48.286,263.43,12,36,56.571,492,2,133.43,0,97.143,381.14,96.571,8,1.7143,16.286
62.226,1053.4,739.15,360.53,155.85,14.177,102.16,6.1886,15.643,14.123,99.203,0.32857,23.346,0.13714,19.191,118.4,21.049,693.98,173.17,185.43,441.71,1675.7,1085.4,1507.4,985.14,103.14,747.71,42.857,140.86,386.86,914.29,2,216,1.1429,252.86,1048.3,151.14,667.14,228.57,825.71,278,179.99,3.4286,578.86,458.86,32.857,301.14,10.857,38,58.286,268.57,0.57143,127.43,0,73.429,479.71,63.714,6.8571,2.5714,28.286
13.894,1164.6,963.45,359.17,65.154,9.3486,96.743,5.3514,14.94,17.026,44.369,0.42571,8.7857,0.13429,18.409,109.37,13.929,698.29,202.34,150.47,132,1786.6,1272.6,1494.9,463.71,80.571,710.57,39.143,125.14,470.29,460.86,2.8571,119.71,1.1429,283.43,989.43,110.86,724.86,245.71,754.57,41.143,199.16,4.8571,577.71,197.71,24.857,303.14,14.857,46.857,73.714,139.43,2,46.571,0,68.571,340,48.571,9.7143,0.85714,23.429
13.726,1213,1866.7,329.47,33.62,8.5086,87.989,5.8086,8.3886,20.983,44.709,0.8,9.5486,0.15143,13.891,47.597,15.909,657.79,207.69,149.73,118.29,1820.3,1576.9,1358,272.86,75.429,624.29,42.286,91.714,581.71,447.43,5.1429,127.14,0.57143,253.14,537.43,121.43,688.29,239.14,827.14,49.714,208.57,3.4286,540.29,128.57,26.857,245.71,14,31.714,99.714,132.57,0.85714,52.857,0,79.143,218.29,45.143,8,1.1429,26.857
17.449,1102.3,2677.1,349.59,42.586,11.051,82.28,6.0514,6.7143,19.071,36.177,0.68286,13.209,0.24,14.414,43.937,15.406,540.93,223.99,166.32,144,1643.7,2122,1412,298.86,92.857,559.14,42.571,78,550.57,355.14,3.1429,161.14,1.1429,261.14,539.14,112,589.43,233.71,854.57,54.286,179.71,3.7143,509.43,114,35.143,218.86,12.286,28.857,84.286,94,0.28571,69.429,0.57143,77.429,217.43,46,6.8571,1.4286,33.714
15.84,1118.4,3007.5,264.07,31.863,14.091,71.6,5.4457,4.2914,15.32,29.831,0.30857,15.734,0.48,9.7629,40.246,11.003,611.27,192.91,150.71,131.71,1612.9,2301.1,1132.3,244.29,123.71,505.14,42.571,48.571,464.57,290.86,2.2857,194.57,1.7143,170.57,448.86,82.571,606.29,216.57,857.43,48.286,164.57,5.7143,405.14,87.429,40.571,184.57,13.429,11.714,63.714,73.714,0,63.429,0,49.143,150.57,25.429,4,2.2857,24
18.874,1185.3,3454.7,226.15,66.129,15.997,64.08,7.2057,4.4486,12.643,30.76,0.49714,16.551,0.12857,8.6229,16.623,11.409,713.34,196.49,111.38,177.14,1683.4,2568,1028,532.86,150.86,482.29,56.286,44.571,380,301.43,2.5714,226.29,0.57143,149.43,224,89.714,644.29,254.86,713.43,68.571,207.43,3.7143,340.57,217.14,51.429,161.43,18.571,15.429,72,78.571,0.28571,82.857,0,45.143,92,27.714,2.5714,3.1429,18.571
21.123,1153.4,3997.8,237.39,69.143,15.063,64.034,8.6429,3.1886,9.28,22.414,0.12571,17.006,0.43714,9.9543,17.169,9.9771,777.86,316.86,109.51,204.57,1709.1,3071.4,1130.3,594.86,142.29,489.43,69.143,37.429,311.14,228.57,0.85714,240.86,2.5714,201.14,248.86,78,688.29,441.71,742.57,85.429,185.43,6,431.71,252.57,52.571,183.43,24.571,18.857,53.143,65.429,0,80,0.28571,68,93.143,26.571,4.2857,1.4286,14.571
28.986,1084.4,2276.6,267.18,57.409,15.354,64.754,12.12,4.3571,12.834,18.763,0.13714,19.411,0.18286,11.589,18.243,7.9971,761.87,220.68,110.08,271.43,1636,2193.7,1269.1,509.43,144,525.43,92.571,42.571,406,184.86,1.4286,266,1.1429,195.14,287.14,67.429,681.43,250.29,728.57,102,180.29,2.5714,521.14,206.57,50,220.29,20.571,12.286,63.714,46.857,0.28571,96.286,0.28571,64.571,95.714,26.286,13.714,1.1429,22
34.677,1076.2,1276.7,159.93,47.297,15.037,54.206,9.0086,3.4943,15.377,14.766,0.20286,22.534,0.23714,5.5714,5.6257,6.9,643.43,235.7,108,327.71,1601.7,1187.4,900,447.43,168.29,470.29,74.857,46,448.57,160.86,2.5714,314.57,1.7143,127.43,123.14,57.429,664.86,246.57,594.57,117.71,165.71,2,373.71,190,55.714,169.43,18.857,10.571,81.714,42.857,1.4286,118,0,38.571,44.286,30.857,11.143,0,17.143
37.76,1161.3,524.96,124.86,25.426,19.174,56.266,9.7229,2.9629,16.911,14.169,0.14857,23.011,0.12571,4.2029,3.4514,6.5314,659.11,217.85,120.43,384.29,1748.6,821.43,727.14,294.29,206.86,477.71,74.571,38.857,482.57,154.86,1.1429,336.29,0.85714,141.14,117.71,54.571,663.71,270.29,594.86,153.14,193.43,2.5714,273.43,104.57,61.143,158,21.143,12.857,74,40.286,0.28571,118,0.57143,40.571,42.286,28,12,1.7143,21.429
14.723,1206.3,880.84,65.166,35.357,7.2714,55.209,8.7086,3.2,17.697,13.28,0.23429,41.726,0.35429,3.8686,3.2914,6.3257,727.31,226.75,88.283,191.71,1884.3,1075.7,408,404,96,476,81.714,41.429,520.86,152,1.7143,670.86,1.4286,122.86,106.86,58,660.29,273.14,544.29,77.143,246,1.7143,129.14,144,26.857,165.14,17.429,14.286,85.429,43.143,0.57143,208.57,0.28571,34.857,44.857,26.286,12.571,0.28571,11.714
10.589,1164.1,1517.8,38.877,33.386,2.4571,55.42,8.6771,1.8857,17.32,12.723,0.23714,52.223,0.19429,3.3943,2.5571,5.9714,630.51,199.58,80.211,160.29,1773.1,1229.7,290.86,392,46.857,490.29,78.571,28.857,555.43,150.29,1.7143,853.14,1.1429,121.14,83.429,52.571,672.29,252,480.29,70.286,239.73,1.4286,110,146,17.429,190.57,23.714,10,94.286,43.143,0.57143,307.43,0,37.429,33.714,23.429,14,1.7143,14
16.769,1280.2,715.91,37.469,34.331,3.0086,49.331,9.0857,1.7829,17.426,14.02,0.27429,52.917,0.27143,4.1114,2.7171,6.5743,488.83,172.91,56.729,276.86,1810.6,1104,296.86,431.14,60.571,448.57,95.143,29.714,591.71,174.86,2.2857,956.29,1.7143,207.43,117.43,60.286,686.57,261.71,409.71,96.857,192.86,0.85714,114.57,158,18.286,148.29,28,9.7143,101.14,50.286,0.28571,331.71,0.85714,49.714,50.286,20.286,12.286,0.57143,9.7143
20.077,1171.5,659.1,44.283,52.691,3.06,54.097,17.469,1.8714,16.543,13.154,0.21429,63.057,0.10857,5.5171,3.0229,7.2143,475.08,206.13,64.966,319.43,1726,1072.6,356,710.29,59.143,499.71,178.57,32.857,551.43,155.14,1.7143,1136.6,0.57143,279.43,144,73.429,650.86,280.57,430.86,129.71,189.71,1.7143,117.71,274.57,12.857,178.57,54.857,9.7143,89.143,42.857,0,409.71,0.28571,78.286,48.857,26,7.7143,1.1429,4.5714
13.471,1134.4,1778,22.829,27.623,3.5743,54.42,14.1,2.6571,22.789,14.36,0.12,57.409,0.042857,2.7943,4.1971,9.6143,490.59,201.7,70.414,224.57,1721.1,1579.1,191.14,387.43,72,515.43,142.29,45.429,707.43,172,1.4286,1111.7,0.28571,162.29,197.14,90.857,610.29,255.14,497.71,65.143,178.29,2.2857,70,154,28.286,183.71,38.286,7.4286,118.29,38.857,0,280.57,0,45.714,61.143,34,10.571,2,8.2857
3.2971,1084.8,2954.2,3.2971,15.489,2.0086,23.523,4.4971,1.0029,25.463,15.349,0.57429,23.26,0.13429,2.3457,5.4943,7.5857,322.06,210.94,69.923,81.429,1576.9,2355.1,50.571,237.71,55.429,309.14,49.143,21.714,781.14,180.57,4.8571,596.86,0.85714,130.29,226.29,73.143,596.29,255.43,504,18.857,196.57,3.1429,20.857,100.29,21.429,146.57,19.714,7.4286,128,37.429,0.57143,133.14,0,48.857,92,34.571,10.857,0,13.429
